@@TAXID,TAXPATHSN,PERCENTAGE,_CAMI_genomeID
1122187.1,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|Lysobacter oryzae|Lysobacter oryzae DSM 21044 strain,0.0795,1030878
266.1,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus denitrificans|Paracoccus denitrificans strain,0.1102,1052944
644383.1,Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales|Thermosporotrichaceae|Thermosporothrix|Thermosporothrix hazakensis|Thermosporothrix hazakensis strain,1.3461,1035900
266.3,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus denitrificans|Paracoccus denitrificans strain,0.4385,1053058
266.2,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Paracoccus|Paracoccus denitrificans|Paracoccus denitrificans strain,0.3504,1052947
1385.5,Bacteria|Firmicutes|Bacilli|Bacillales||||Bacillales strain,0.2684,evo_1286_AP.008
1385.4,Bacteria|Firmicutes|Bacilli|Bacillales||||Bacillales strain,0.3609,evo_1286_AP.037
173053.1,Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae|Tetrasphaera|Tetrasphaera duodecadis|Tetrasphaera duodecadis strain,3.6069,1220_AD
990712.1,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Albidovulum|Albidovulum xiamenense|Albidovulum xiamenense strain,0.1069,1049089
1385.1,Bacteria|Firmicutes|Bacilli|Bacillales||||Bacillales strain,0.4932,evo_1286_AP.033
1385.3,Bacteria|Firmicutes|Bacilli|Bacillales||||Bacillales strain,0.0899,1286_AP
1385.2,Bacteria|Firmicutes|Bacilli|Bacillales||||Bacillales strain,1.0144,evo_1286_AP.026
1120996.1,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Anaerosporobacter|Anaerosporobacter mobilis|Anaerosporobacter mobilis DSM 15930 strain,0.0314,1036743
1121301.1,Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium caminithermale|Clostridium caminithermale DSM 15212 strain,0.0397,1036707
404881.1,Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Defluviimonas|Defluviimonas denitrificans|Defluviimonas denitrificans strain,0.7266,1049005
2371.1,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xylella|Xylella fastidiosa|Xylella fastidiosa strain,0.0985,1048783
1121001.1,Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae|Andreprevotia|Andreprevotia lacus|Andreprevotia lacus DSM 23236 strain,0.1618,1030755
1122156.1,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia|Lampropedia hyalina|Lampropedia hyalna DSM 16112 strain,0.0855,1036608
1123243.1,Bacteria|Firmicutes|Negativicutes|Selenomonadales|Veillonellaceae|Schwartzia|Schwartzia succinivorans|Schwartzia succinivorans DSM 10502 strain,6.8179,1036554
2088.2,Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma|Anaeroplasma bactoclasticum|Anaeroplasma bactoclasticum strain,0.1118,evo_1035930.011
2088.3,Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma|Anaeroplasma bactoclasticum|Anaeroplasma bactoclasticum strain,0.6392,evo_1035930.032
2088.1,Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma|Anaeroplasma bactoclasticum|Anaeroplasma bactoclasticum strain,0.2231,1035930
2088.4,Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma|Anaeroplasma bactoclasticum|Anaeroplasma bactoclasticum strain,1.8455,evo_1035930.029
10239.6,Viruses|||||||Viruses strain,1.7071,Sample22_89
1004304.5,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,0.0147,evo_1049056.039
10239.4,Viruses|||||||Viruses strain,0.3908,Sample6_49
10239.5,Viruses|||||||Viruses strain,0.0162,Sample6_476
10239.2,Viruses|||||||Viruses strain,0.1482,Sample9_2
10239.3,Viruses|||||||Viruses strain,0.5422,Sample22_57
1120989.1,Bacteria|Firmicutes|Clostridia|Clostridiales|Proteinivoraceae|Anaerobranca|Anaerobranca californiensis|Anaerobranca californiensis DSM 14826 strain,0.0407,1036728
10239.1,Viruses|||||||Viruses strain,3.2053,Sample6_527
1004304.6,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,1.0556,evo_1049056.015
75309.1,Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Rhodanobacter||Rhodanobacter strain,0.0108,1220_AJ
1121393.1,Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae|Desulfatibacillum|Desulfatibacillum alkenivorans|Desulfatibacillum alkenivorans DSM 16219 strain,0.4606,1036755
10239.7,Viruses|||||||Viruses strain,0.3366,Sample19_52
1004304.1,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,0.098,evo_1049056.031
1004304.3,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,0.4228,evo_1049056.013
1004304.2,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,2.0899,evo_1049056.011
29580.1,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Janthinobacterium||Janthinobacterium strain,0.0305,1365_A
1004304.4,Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina|Hydrotalea sandarakina strain,1.1144,1049056
29580.2,Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Janthinobacterium||Janthinobacterium strain,1.8438,1139_AG
